"item_code","item","master_nr","serial_nr","manufacture_code","qty","soft_id","mac_first","mac_last","mac_count","imei","user","password","ssid2","ssid5"
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEEHIGZC2","HIHIYK3R4OI","314","1","HOXY-HOZX","68:61:68:61:FE:93","68:61:68:61:FE:99","7","","admin","SSXE4ZAMFX","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEF3DTS4B","HIHIE2ZXMEI","314","1","HOKQ-HOA3","68:61:68:61:FE:47","68:61:68:61:FE:4D","7","","admin","GIIDXNFZGK","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE4R33QRA","HIHINP54L73","314","1","HOT7-HOGH","68:61:68:61:09:9C","68:61:68:61:09:A2","7","","admin","3DFONZSASK","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHER5SPKLV","HIHICERVSBU","314","1","HO2Q-HOKS","68:61:68:61:FB:DD","68:61:68:61:FB:E3","7","","admin","TKAQHG6LTO","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE5YA7ZJI","HIHITBFL36U","314","1","HOI5-HOJ5","68:61:68:61:00:8D","68:61:68:61:00:93","7","","admin","RESW24ZOOE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEOIPKGPZ","HIHIGV6M56A","314","1","HOC7-HOS6","68:61:68:61:07:49","68:61:68:61:07:4F","7","","admin","EBGWS23SN5","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHETJZKCXC","HIHISLR7M7O","314","1","HOCF-HORE","68:61:68:61:E8:A5","68:61:68:61:E8:AB","7","","admin","KGS2ZANZXX","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEQ7IAIE5","HIHI7JIJZR7","314","1","HOSU-HORF","68:61:68:61:02:26","68:61:68:61:02:2C","7","","admin","OIDQOJXXM2","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE7NCYUG4","HIHI3DFQVWS","314","1","HOXF-HOWU","68:61:68:61:04:20","68:61:68:61:04:26","7","","admin","LECEMVZSA2","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE66OCFHT","HIHI7YNL5ZV","314","1","HOQT-HONN","68:61:68:61:07:CE","68:61:68:61:07:D4","7","","admin","DBOJSHOYLS","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEDCJAHWW","HIHI46GKFZ2","314","1","HORB-HOOE","68:61:68:61:E7:47","68:61:68:61:E7:4D","7","","admin","MUQGC3TEEB","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEQJJDWW7","HIHIOPFK4WL","314","1","HO3Z-HODJ","68:61:68:61:37:E6","68:61:68:61:37:EC","7","","admin","ZW6ZTUO5QX","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEKODHPJ6","HIHICOU7Y7R","314","1","HOKQ-HOM2","68:61:68:61:0E:94","68:61:68:61:0E:9A","7","","admin","EEZJAMZXXE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEJGU6YSL","HIHI7TW532T","314","1","HOJ7-HOXF","68:61:68:61:FF:C6","68:61:68:61:FF:CC","7","","admin","EICRCJNZ2G","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEQAQEZE5","HIHIYNKZN3T","314","1","HO32-HOVB","68:61:68:61:E7:4E","68:61:68:61:E7:54","7","","admin","K4TOMV2CDA","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEUZGYHVI","HIHIKOA4H6Q","314","1","HOMB-HOSA","68:61:68:61:03:31","68:61:68:61:03:37","7","","admin","Y3CPNZXOGK","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHECH52VU7","HIHI7NPECZV","314","1","HOMI-HO2C","68:61:68:61:08:7E","68:61:68:61:08:84","7","","admin","SY3UNF3GS5","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEYVHONE2","HIHIUMNLRU4","314","1","HOWD-HOZP","68:61:68:61:BD:82","68:61:68:61:BD:88","7","","admin","DEZREEBUW4","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE5LT7UNJ","HIHIAOQIH25","314","1","HOYA-HOGS","68:61:68:61:E7:7F","68:61:68:61:E7:85","7","","admin","IDNN5ZXOII","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE5U4AZ7V","HIHITA5ZT7A","314","1","HOO6-HONF","68:61:68:61:02:EE","68:61:68:61:02:F4","7","","admin","DEPMYQCHI2","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEMW3YWCR","HIHILNLINBL","314","1","HOSB-HOFT","68:61:68:61:24:06","68:61:68:61:24:0C","7","","admin","DFEBRTCW65","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEL72VVXB","HIHIGHYIW64","314","1","HOBE-HONS","68:61:68:61:03:D4","68:61:68:61:03:DA","7","","admin","LOORRZGSZL","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE62XCIJO","HIHIKHOO2UJ","314","1","HODC-HOGR","68:61:68:61:23:A8","68:61:68:61:23:AE","7","","admin","TEEBQXEO33","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEA5BX2JU","HIHID7VK3DF","314","1","HOVQ-HOE3","68:61:68:61:FD:7C","68:61:68:61:FD:82","7","","admin","VNZSCA5DIM","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEUYI3KLT","HIHISUSB4BU","314","1","HOO6-HOYU","68:61:68:61:FE:F8","68:61:68:61:FE:FE","7","","admin","SECUQHCOO3","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHECHH7OIR","HIHIXEEUJUJ","314","1","HOEU-HO2B","68:61:68:61:09:49","68:61:68:61:09:4F","7","","admin","3SNRRSCCD4","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEZYLV3YI","HIHIBUMF5RC","314","1","HOMP-HOCD","68:61:68:61:04:39","68:61:68:61:04:3F","7","","admin","ICPOEVCZCA","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEULEHHJK","HIHILPGHNRW","314","1","HOTE-HOYJ","68:61:68:61:37:95","68:61:68:61:37:9B","7","","admin","ZLYOBSXE2L","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEBQ7EKRE","HIHIFQXUGYR","314","1","HOJ4-HOSL","68:61:68:61:1A:99","68:61:68:61:1A:9F","7","","admin","FNCZRWKIDD","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHERN2SIYB","HIHITTIM3KD","314","1","HOYQ-HOCE","68:61:68:61:38:2C","68:61:68:61:38:32","7","","admin","JNYQHTK43J","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHERWLWZ7X","HIHIBHYFFPA","314","1","HOFU-HOML","68:61:68:61:1B:BE","68:61:68:61:1B:C4","7","","admin","NZCTSTAO2L","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEMVWPPPN","HIHI4M3GXNY","314","1","HOC3-HOG3","68:61:68:61:09:78","68:61:68:61:09:7E","7","","admin","SOMRR2XGD5","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEH56DBH5","HIHIMU7JUOB","314","1","HOAB-HO2O","68:61:68:61:FD:4D","68:61:68:61:FD:53","7","","admin","DESRPEQOHG","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE56PITHW","HIHIY2WTAQV","314","1","HOLH-HOZN","68:61:68:61:E8:D6","68:61:68:61:E8:DC","7","","admin","5DBNZSGC4T","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE3IVQUJ5","HIHI7TKJFC4","314","1","HOAX-HOCB","68:61:68:61:FD:99","68:61:68:61:FD:9F","7","","admin","EECEBIEGID","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE46RVHN6","HIHI6BTDZAA","314","1","HOUS-HOAK","68:61:68:61:1A:16","68:61:68:61:1A:1C","7","","admin","IMFZGTI53E","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEFFP3KA3","HIHIQLTWEAO","314","1","HORA-HOOY","68:61:68:61:37:78","68:61:68:61:37:7E","7","","admin","BEOJSSAYLO","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE3V5F3PW","HIHIKZIBB4G","314","1","HOTA-HOHZ","68:61:68:61:07:50","68:61:68:61:07:56","7","","admin","MQQGG33NDO","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEQXRNTWN","HIHI5PAWF4P","314","1","HOCZ-HODO","68:61:68:61:23:E9","68:61:68:61:23:EF","7","","admin","BWGK5DFEBE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHENK3WZWY","HIHINC5V4Q4","314","1","HOFZ-HOHI","68:61:68:61:08:6C","68:61:68:61:08:72","7","","admin","SZG65LUNFE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEGOO4VBY","HIHIHIQAFTJ","314","1","HOVN-HOPQ","68:61:68:61:00:7B","68:61:68:61:00:81","7","","admin","XEGOIDCTPF","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE4SDP6XT","HIHIT6FSELW","314","1","HOIF-HOZ5","68:61:68:61:FF:BF","68:61:68:61:FF:C5","7","","admin","ZXIREZLNDO","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEAQ5VM6W","HIHIV5JTEJS","314","1","HOFR-HO27","68:61:68:61:08:B8","68:61:68:61:08:BE","7","","admin","MQGC3DMONE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE56BAFNK","HIHIZYQNMTD","314","1","HOC3-HODI","68:61:68:61:02:B2","68:61:68:61:02:B8","7","","admin","53WKZTBAOV","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEPS5KD6V","HIHIJXTZYON","314","1","HOJT-HOJX","68:61:68:61:09:AE","68:61:68:61:09:B4","7","","admin","ZSA2LOCEDA","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEQKRBXKV","HIHIOQKPZWE","314","1","HOFB-HO3U","68:61:68:61:22:49","68:61:68:61:22:4F","7","","admin","YTSOJXEOB2","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEFNK257P","HIHIZGJYM22","314","1","HOO4-HOYR","68:61:68:61:23:BA","68:61:68:61:23:C0","7","","admin","GECRE6IDDD","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHESKRI6ZM","HIHIIIW7YA5","314","1","HOYK-HOUZ","68:61:68:61:3A:DE","68:61:68:61:3A:E4","7","","admin","SOJSWCC5DD","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHELNL4Z5E","HIHIKGNTJ4E","314","1","HO2C-HO6K","68:61:68:61:38:C3","68:61:68:61:38:C9","7","","admin","FEEBE2GODQ","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE57NZX47","HIHIX44JMR7","314","1","HOJU-HO7N","68:61:68:61:07:86","68:61:68:61:07:8C","7","","admin","ZJAKJTXXDK","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE7YOCQKM","HIHIL5JH33R","314","1","HO7P-HO3O","68:61:68:61:E9:0E","68:61:68:61:E9:14","7","","admin","5DFOJHVGIE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHER4ZVJPV","HIHIFVWRPRB","314","1","HOMH-HOOB","68:61:68:61:08:16","68:61:68:61:08:1C","7","","admin","SEDTN5THI5","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE3FYNH6G","HIHIHMAJ3DG","314","1","HOGW-HOYB","68:61:68:61:6B:FB","68:61:68:61:6C:01","7","","admin","3BOJESSODA","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE2N7WRSK","HIHISKRKREP","314","1","HOEP-HO6F","68:61:68:61:F8:EC","68:61:68:61:F8:F2","7","","admin","SE4R3ZON2G","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHESOHJV27","HIHIRRZEMKR","314","1","HOWA-HOBN","68:61:68:61:08:2F","68:61:68:61:08:35","7","","admin","K3JAORUGCE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEKY7RH77","HIHINRF7TQA","314","1","HOJA-HOY5","68:61:68:61:F9:A9","68:61:68:61:F9:AF","7","","admin","5EBAOBZG65","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEZD44WIL","HIHIRYLYZO5","314","1","HOMN-HOOV","68:61:68:61:38:B1","68:61:68:61:38:B7","7","","admin","TJMRRSXGID","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEXVVMKE7","HIHICZPRLYB","314","1","HOP3-HO4R","68:61:68:61:FF:97","68:61:68:61:FF:9D","7","","admin","FPCRB2GK3T","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE4PZWU4N","HIHIQ7Y7HWU","314","1","HO3M-HOP3","68:61:68:61:08:F2","68:61:68:61:08:F8","7","","admin","TNF3EGKIDE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEDXHODD6","HIHIGLQWDCK","314","1","HOMS-HOCF","68:61:68:61:FC:CF","68:61:68:61:FC:D5","7","","admin","DETORQWE2E","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEIBRIYF7","HIHIZVMXPXA","314","1","HOUI-HOR4","68:61:68:61:37:DD","68:61:68:61:37:E3","7","","admin","LMNFE2CHDE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEP5ZVJ3W","HIHIIGFYR7O","314","1","HOUC-HOKA","68:61:68:61:08:90","68:61:68:61:08:96","7","","admin","SSLBEAMNXW","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEIDIRJHS","HIHI4FQ2MHI","314","1","HOBP-HOSA","68:61:68:61:E8:19","68:61:68:61:E8:1F","7","","admin","45DSENC5WH","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEFIDJWL4","HIHI4NAVQFT","314","1","HOAS-HODG","68:61:68:61:03:E6","68:61:68:61:03:EC","7","","admin","GLCBEAMFDX","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHED4Q2UQ2","HIHIBQTXS3N","314","1","HO6D-HOIU","68:61:68:61:1C:03","68:61:68:61:1C:09","7","","admin","GICIDGCNRS","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEIBIK7KH","HIHIEESHLBB","314","1","HOVQ-HOJF","68:61:68:61:FE:81","68:61:68:61:FE:87","7","","admin","SXCQ2TLODE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEKOK6TSU","HIHIMRV74MW","314","1","HO2A-HO5X","68:61:68:61:FC:FE","68:61:68:61:FD:04","7","","admin","CENFWTGOSE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEZBPCDTQ","HIHI224MUXB","314","1","HOH2-HOQN","68:61:68:61:02:D4","68:61:68:61:02:DA","7","","admin","SE5RDZEBTE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHESADLA7W","HIHIDZDL6UK","314","1","HOJ2-HOJZ","68:61:68:61:F6:68","68:61:68:61:F6:6E","7","","admin","G64RRTAODM","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE5RQG3OM","HIHIFCRZYL3","314","1","HOQ7-HOSF","68:61:68:61:E8:20","68:61:68:61:E8:26","7","","admin","FWGYIDLNFX","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE5GEJFLZ","HIHIUNALECD","314","1","HOJI-HOID","68:61:68:61:1A:AB","68:61:68:61:1A:B1","7","","admin","GI4ZANC5DE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEFBCEVTK","HIHITFK77F6","314","1","HOOV-HOF4","68:61:68:61:38:CA","68:61:68:61:38:D0","7","","admin","TCAZDTBOOR","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE5NEEV4L","HIHILT7U5YM","314","1","HOZ5-HOVM","68:61:68:61:37:AF","68:61:68:61:37:B5","7","","admin","SEQSEA2LDO","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEJCS3MJM","HIHI3CXBEMI","314","1","HOKZ-HO4I","68:61:68:61:FD:46","68:61:68:61:FD:4C","7","","admin","ORSXEECOZT","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEAUGU7LV","HIHI6YI7OJX","314","1","HOWT-HOAD","68:61:68:61:07:62","68:61:68:61:07:68","7","","admin","BMNRSXCGID","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEY4AUF5E","HIHIFFABK53","314","1","HOOF-HOL5","68:61:68:61:04:EE","68:61:68:61:04:F4","7","","admin","BNZSECCA4T","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHENVSK52B","HIHIDCSTLFZ","314","1","HOS6-HO32","68:61:68:61:21:21","68:61:68:61:21:27","7","","admin","POVR2GCSD3","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEL5JIDTO","HIHICBGC2NG","314","1","HOFU-HOWH","68:61:68:61:20:B8","68:61:68:61:20:BE","7","","admin","STHFYQESDE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE55LBANQ","HIHIUUBOJ6W","314","1","HODE-HOSS","68:61:68:61:69:DA","68:61:68:61:69:E0","7","","admin","3ERAGIYDAE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEBUDGJ3T","HIHIQ5SS4KY","314","1","HOUW-HOHT","68:61:68:61:38:33","68:61:68:61:38:39","7","","admin","MRAREOCOD5","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEKXFX5CX","HIHIEBH5LFH","314","1","HO2N-HOCI","68:61:68:61:23:96","68:61:68:61:23:9C","7","","admin","SSSREACZDD","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEACPUTLW","HIHIKWRT4SK","314","1","HOO5-HOZX","68:61:68:61:09:8A","68:61:68:61:09:90","7","","admin","FMNUWIZLEE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEC3BDT6C","HIHIIDXUTZY","314","1","HOVE-HO5K","68:61:68:61:24:38","68:61:68:61:24:3E","7","","admin","EEBR2GCO6I","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEAU6YFQL","HIHIIWTTT5Q","314","1","HOIA-HOAL","68:61:68:61:17:F6","68:61:68:61:17:FC","7","","admin","SDNMFTCODV","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE525RBXK","HIHIIFTIPA5","314","1","HOBO-HOB6","68:61:68:61:3A:7D","68:61:68:61:3A:83","7","","admin","WECKIDCPOE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEC2F45P5","HIHITVT4SOI","314","1","HOMV-HO5P","68:61:68:61:02:4A","68:61:68:61:02:50","7","","admin","VZCRETCCDA","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHE56UDI3Z","HIHI277YYJK","314","1","HOSP-HOZP","68:61:68:61:07:25","68:61:68:61:07:2B","7","","admin","S33RXTNYDQ","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEMWGAD3U","HIHIDRGQHJD","314","1","HOWM-HOAD","68:61:68:61:01:A4","68:61:68:61:01:AA","7","","admin","GQYRELCOSM","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEXQPB2IO","HIHIIZ4TN2K","314","1","HOUL-HORP","68:61:68:61:08:48","68:61:68:61:08:4E","7","","admin","R3CWEC4TFE","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEVVQKQRJ","HIHIPPMPCH4","314","1","HOF6-HOGR","68:61:68:61:6F:BE","68:61:68:61:6F:C4","7","","admin","SFCQQGCOC3","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEGZ7A5V6","HIHIHF36YIH","314","1","HOGC-HOLG","68:61:68:61:21:66","68:61:68:61:21:6C","7","","admin","TEEREEBO2G","",""
"C52iG-5HaxD2HaxD-TC-US","C52iG-5HaxD2HaxD-TC-US hAP ax²","HEHEYND5ECB","HIHIFTV7FMJ","314","1","HOCQ-HOO2","68:61:68:61:38:41","68:61:68:61:38:47","7","","admin","QZJAKTCOJE","",""
